comment_id;parent_comment_id;video_id;author_display_name;author_channel_id;author_channel_url;text_display;text_original;like_count;total_reply_count
UgymVRwydwOMK3_mRDl4AaABAg;None;Vrtx9G9lEuM;@msbanda2123;UCVTjHZbbfJHm4yIAHeq1iOQ;http://www.youtube.com/@msbanda2123;As a C++ developer, I would like to learn about Design Patterns. Is your Design Patterns course, which uses Java, recommended for us?;As a C++ developer, I would like to learn about Design Patterns. Is your Design Patterns course, which uses Java, recommended for us?;91;8
UgzAy1LaCGC_Pn5CvrZ4AaABAg;None;Vrtx9G9lEuM;@m.a.6738;UCKpVt6lKBD6yvV0R2gVeCLw;http://www.youtube.com/@m.a.6738;I have no idea what you just said but I like it and Python sounds awesome 😂;I have no idea what you just said but I like it and Python sounds awesome 😂;31;0
UgykPLKOQBUlG4fOhpt4AaABAg;None;Vrtx9G9lEuM;@Withered777;UCd5g4Ajal59FEPyw4pKG_og;http://www.youtube.com/@Withered777;I’ve started learning this today with my dad lol😂<br><br>I know how to use Strings, input, output, print and create variables <br><br>Edit: I quit.;"I’ve started learning this today with my dad lol😂

I know how to use Strings, input, output, print and create variables 

Edit: I quit.";95;14
UgzbQzBL8E7Md0XSBXl4AaABAg;None;Vrtx9G9lEuM;@Pravo.Slavac;UCg6RJaEgD9-PjMNd4Clq63g;http://www.youtube.com/@Pravo.Slavac;I started off with python but you basically just import giant amounts of code. I use c++ now and i could learn java or most languages really quickly.;I started off with python but you basically just import giant amounts of code. I use c++ now and i could learn java or most languages really quickly.;16;0
Ugxqq7_TjgCVQWl3rSl4AaABAg;None;Vrtx9G9lEuM;@UmeshNeupane-1001;UC_4kUFfRYMKBDYrmhuJZYSA;http://www.youtube.com/@UmeshNeupane-1001;Not only by C++ developer Java developers also;Not only by C++ developer Java developers also;24;4
Ugxj-2nAm2wZj_pXael4AaABAg;None;Vrtx9G9lEuM;@CoachIceman;UCc6-mqg9whIvOkOu9pzeh1A;http://www.youtube.com/@CoachIceman;Python to the world;Python to the world;15;0
UgyhWQmaJi_wf7LvH9d4AaABAg;None;Vrtx9G9lEuM;@ThomasKelvinWorkspace;UCVHp9O3qo-jFXotVY-3QQoA;http://www.youtube.com/@ThomasKelvinWorkspace;Python is the greatest for me💙;Python is the greatest for me💙;4;0
UgzcEPXzXnaPHw2Pkkh4AaABAg;None;Vrtx9G9lEuM;@ndumisomtshali383;UCRx98PGUYTXSRad7N9UvGWQ;http://www.youtube.com/@ndumisomtshali383;"I still don&#39;t like Python. I&#39;ve used it to create a face recognition program. I just C++ us much better to read.";I still don't like Python. I've used it to create a face recognition program. I just C++ us much better to read.;11;0
UgzD3qAqMVW9-bkSy_N4AaABAg;None;Vrtx9G9lEuM;@dominikskeries;UCa-Xv_iShL5m1T45HAcJr2g;http://www.youtube.com/@dominikskeries;If it had brackets I would love it the indentation stuff is strange;If it had brackets I would love it the indentation stuff is strange;0;0
Ugzj78uIcWXUEBArZE14AaABAg;None;Vrtx9G9lEuM;@mukithasan9684;UCLWyF2OLyWnVkhk5drJbbcQ;http://www.youtube.com/@mukithasan9684;"I still don&#39;t get it why lot of people hate python?";I still don't get it why lot of people hate python?;11;5
UgwkUcemYv2h43-K8FJ4AaABAg;None;Vrtx9G9lEuM;@justinluppnow4651;UCHIHX4PP1cUrQIjdIFLs1uQ;http://www.youtube.com/@justinluppnow4651;Started python today can build my own name generator and switch variables 🥳🥳;Started python today can build my own name generator and switch variables 🥳🥳;4;1
Ugxx-oZA25DdZ23v9Xt4AaABAg;None;Vrtx9G9lEuM;@epos_rising;UCC19ufEwGV9hxhVkmW6OCiw;http://www.youtube.com/@epos_rising;cool video!;cool video!;0;0
