video_id;title;description;published_at;channel_id;channel_title;category_id;live_broadcast_content;view_count;like_count;comment_count;favorite_count;duration;dimension;definition;caption;licensed_content;projection
Vrtx9G9lEuM;Python in 1 Minute;;2024-04-13T14:00:19Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
vE7Cy5csYbQ;Python in 2 Minutes!;"Get to know Python and why it's hated by C++ programmers! 

🔗 Python tutorials 

https://youtu.be/kqtD5dpn9C8?si=Z9CtJNU1FStlnepW
https://youtu.be/_uQrJ0TkZlc?si=-mGZLOQn7YpLAlXJ

✋ Stay connected

- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📖 What's covered

00:00 - Why Python is so popular
00:10 - Applications of Python  
00:18 - Python ecosystem
00:34 - History of Python 
00:43 - Python interpreter 
00:52 - Hidden gems of Python 
01:01 - Basic Python syntax 
01:44 - What's with ""batteries included""

#python #programming #ai #coding";2024-04-12T13:01:00Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
bjFvcFjJpE0;Top Programming Languages in 2020;"The top programming languages in 2020. If you're looking for a job in AI or web or mobile development, this video is for you.
👍Subscribe for more tutorials like this: https://goo.gl/6PYaGF

MY FULL COURSES

The Complete Python Programming Course: http://bit.ly/35BLHHP
The Ultimate Java Series: http://bit.ly/2tKoy8C
The Ultimate Full-stack JavaScript Developer: http://bit.ly/2Ncpc5F
JavaScript Basics for Beginners: http://bit.ly/2KZea52

MY YOUTUBE TUTORIALS

Python Tutorial for Beginners: https://youtu.be/_uQrJ0TkZlc
Java Tutorial for Beginners: https://youtu.be/eIrMbAQSU34
JavaScript Tutorial for Beginners: https://youtu.be/W6NZfCO5SIk

CONNECT WITH ME

Blog: http://programmingwithmosh.com
Facebook: https://www.facebook.com/programmingwithmosh/
Twitter: https://twitter.com/moshhamedani";2020-01-13T17:00:11Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
2ReR1YJrNOM;What is Git? Explained in 2 Minutes!;"This short video explains what Git is and why it's a critical skill for every software & DevOps engineer. 
👍 Subscribe for more Git tutorials like this: https://goo.gl/6PYaGF
👉 Learn Git basics in one hour: https://youtu.be/8JJ101D3knE

#Git is the most popular open-source version control system in the world. Everyday, millions of people use Git to track their project history and collaborate effectively. It's a critical skill for a every software and DevOps engineer. 

⭐️ Want to learn more from me? Check out these links: 

Courses: https://codewithmosh.com
Twitter: https://twitter.com/moshhamedani
Facebook: https://www.facebook.com/programmingwithmosh/
Blog: https://programmingwithmosh.com";2020-09-21T13:00:03Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
4_J_CLKwoto;C# Object Initializers Tutorial;"C# Object Initializers Tutorial

🔥Get the COMPLETE Course: http://bit.ly/2LhL39u

SUBSCRIBE FOR MORE VIDEOS!
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA?sub_confirmation=1

STAY IN TOUCH
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani";2017-11-08T18:55:21Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;22;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
V7TMkZH1AkM;A Practical AI Course for Developers is Coming...;"I’ve been working on something special — can’t wait to share it with you soon. Watch this space.

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

✋ Stay connected:
- Full Courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/";2025-08-18T23:46:05Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
ODjFDZC_TyA;Python Exercises for Beginners - Exercise #1;"Looking for Python practices to learn Python better? Watch this video to practice Python. 
🔥Subscribe for more Python tutorials like this: https://goo.gl/SjXTT7
🔥Python tutorial for beginners: https://youtu.be/yE9v9rt6ziw

Python Exercises for Beginners: 
https://programmingwithmosh.com/python/python-exercises-and-questions-for-beginners/

Python Cheat Sheet: 
https://programmingwithmosh.com/python/python-3-cheat-sheet/


Want to learn more from me? Check out my blog and courses: 

http://programmingwithmosh.com 
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani";2018-11-04T00:30:00Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
9ueMumuFv6g;How to Loop over Lists in Python;"How to loop over lists in Python. Learn Python basics with this Python tutorial for beginners.
🔥Subscribe for more Python tutorials like this: https://goo.gl/SjXTT7
🔥Python tutorial for beginners: https://youtu.be/yE9v9rt6ziw

Python Exercises for Beginners: 
https://programmingwithmosh.com/python/python-exercises-and-questions-for-beginners/

Python Cheat Sheet: 
https://programmingwithmosh.com/python/python-3-cheat-sheet/


Want to learn more from me? Check out my blog and courses: 

http://programmingwithmosh.com 
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani";2018-11-04T00:00:00Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
YRJbhFLLPyE;The Complete Data Analyst Roadmap;"Go from zero to a data analyst in 8-16 months. This step-by-step roadmap covers the essential skills you must learn to become a data analyst in 2024. 

❤️ Join this channel to get access to perks:
https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join

Download the FREE roadmap PDF here: https://mosh.link/data-analyst-roadmap

✋ Stay connected

- Complete courses: https://codewithmosh.com
- Twitter: https://twitter.com/moshhamedani
- Facebook: https://www.facebook.com/programmingwithmosh/
- Instagram: https://www.instagram.com/codewithmosh.official/
- LinkedIn: https://www.linkedin.com/school/codewithmosh/

📚 Tutorials 

https://youtu.be/_uQrJ0TkZlc?si=ZhlCrQs1SkaPNVa8
https://youtu.be/8JJ101D3knE?si=OGTuS35LQqSunuhh
https://youtu.be/7S_tz1z_5bA?si=QL7s_M2Ao90RDwG8

📖 Chapters

00:00 - Introduction
00:20 - Mathematics & Statistics
00:42 - Excel
00:59 - SQL
01:18 - Python 
01:41 - Git 
02:23 - Data Collection and Preprocessing
02:39 - Data Visualization 
03:07 - Machine Learning Fundamentals
03:26 - Big Data

#dataanalyst #datascience #machinelearning";2024-08-06T13:00:37Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
pEbIhUySqbk;React vs Angular vs Vue: What to Learn to Get a Front-end Job;"What is the best JavaScript framework/library that everybody is learning these days? React, Angular or Vue? Watch this video to find out. 
Here are my other YouTube tutorials: 
Learn React: https://youtu.be/Ke90Tje7VS0
JavaScript for React Developers: https://youtu.be/NCwa_xi0Uuc
JavaScript for Beginners: https://youtu.be/W6NZfCO5SIk
Learn Angular: https://youtu.be/k5E2AVpwsko

🔥Get my Complete React Course with a big discount (limited to the first 200 students): 
https://programmingwithmosh.com/courses/react

👍Subscribe for more videos like this: https://goo.gl/6PYaGF

These days we have plenty of JavaScript frameworks and libraries for front end development. React, Angular and Vue are the top three that are used in most organizations around the world. If you're wondering whether you should learn #React, #Angular or #Vue for web development in 2019, this video can help. We'll look at each of these frameworks, their history, learning curve, and job market and then I'll tell you what framework to learn if you're looking for a front-end development job in 2019. 

Stay in Touch:
https://www.facebook.com/programmingwithmosh/
https://twitter.com/moshhamedani
http://programmingwithmosh.com";2019-04-17T16:00:06Z;UCWv7vMbMWH4-V0ZXdmDpPBA;Programming with Mosh;27;none;0;0;0;0;PT0S;N/A;N/A;false;False;rectangular
